Age,BusinessTravelN,DailyRate,DepartmentN,DistanceFromHome,Education,EducationFieldN,EmployeeCount,EnvironmentSatisfaction,GenderN,HourlyRate,JobInvolvement,JobLevel,JobRole_N,JobSatisfaction,MaritalStatus_N,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18N,OverTimeN,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionN,Attrition
52,1,699,1,1,4,3,1,3,1,65,2,5,9,3,2,19999,5678,0,1,0,14,3,1,80,1,34,5,3,33,18,11,9,0,No
41,0,247,1,7,1,3,1,2,0,55,1,5,8,3,3,19973,20284,1,1,0,22,4,2,80,2,21,3,3,21,16,5,10,0,No
56,1,718,1,4,4,1,1,4,0,92,3,5,9,1,3,19943,18575,4,1,0,13,3,4,80,1,28,2,3,5,2,4,2,0,No
50,1,1452,1,11,3,3,1,3,0,53,3,5,9,2,1,19926,17053,3,1,0,15,3,2,80,0,21,5,3,5,4,4,4,0,No
55,1,725,1,2,3,4,1,4,1,78,3,5,9,1,2,19859,21199,5,1,1,13,3,4,80,1,24,2,3,5,2,1,4,1,Yes
51,2,237,2,9,3,3,1,4,1,83,3,5,9,2,3,19847,19196,4,1,1,24,4,1,80,1,31,5,2,29,10,11,10,0,No
52,1,266,2,2,1,6,1,1,0,57,1,5,9,4,2,19845,25846,1,1,0,15,3,4,80,1,33,3,3,32,14,6,9,1,Yes
40,1,611,2,7,4,4,1,2,1,88,3,5,9,2,1,19833,4349,1,1,0,14,3,2,80,0,21,3,2,21,8,12,8,0,No
43,1,920,1,3,3,3,1,3,1,96,1,5,8,4,2,19740,18625,3,1,0,14,3,2,80,1,25,2,3,8,7,0,7,0,No
56,1,206,0,8,4,3,1,4,1,99,3,5,9,2,1,19717,4022,6,1,0,14,3,1,80,0,36,4,3,7,3,7,7,0,No
58,1,1055,1,1,3,4,1,4,0,76,3,5,8,1,2,19701,22456,3,1,1,21,4,3,80,1,32,3,3,9,8,1,5,0,No
48,1,1224,1,10,3,3,1,4,1,91,2,5,8,2,2,19665,13583,4,1,0,12,3,4,80,0,29,3,3,22,10,12,9,0,No
47,1,1176,0,26,4,3,1,4,0,98,3,5,9,3,2,19658,5220,3,1,0,11,3,3,80,1,27,2,3,5,2,1,0,0,No
55,1,189,0,26,4,5,1,3,1,71,4,5,9,2,2,19636,25811,4,1,1,18,3,1,80,1,35,0,3,10,9,1,4,0,No
46,1,430,1,1,4,4,1,4,1,40,3,5,8,4,3,19627,21445,9,1,0,17,3,4,80,2,23,0,3,2,2,2,2,0,No
40,1,1308,1,14,3,4,1,3,1,44,2,5,8,3,1,19626,17544,1,1,0,14,3,1,80,0,21,2,4,20,7,4,9,0,No
42,1,1059,1,9,2,2,1,4,1,93,2,5,9,4,1,19613,26362,8,1,0,22,4,4,80,0,24,2,3,1,0,0,1,0,No
55,1,685,2,26,5,6,1,3,1,60,2,5,9,4,2,19586,23037,1,1,0,21,4,3,80,1,36,3,3,36,6,2,13,0,No
60,1,422,1,7,3,3,1,1,0,41,3,5,9,1,2,19566,3854,5,1,0,11,3,4,80,0,33,5,1,29,8,11,10,0,No
41,1,1360,1,12,3,1,1,2,0,49,3,5,8,3,2,19545,16280,1,1,0,12,3,4,80,0,23,0,3,22,15,15,8,1,Yes
51,1,684,1,6,3,3,1,1,1,51,3,5,8,3,1,19537,6462,7,1,0,13,3,3,80,0,23,5,3,20,18,15,15,0,No
50,1,854,2,1,4,4,1,4,0,68,3,5,9,4,3,19517,24118,3,1,0,11,3,3,80,1,32,3,2,7,0,0,6,0,No
44,1,1315,1,3,4,2,1,4,1,35,3,5,9,4,2,19513,9358,4,1,1,12,3,1,80,1,26,2,4,2,2,0,1,0,No
